4K测试,#genre#
CCTV4-4K,http://www.rogerxlj.top:9998/rtp/233.18.204.188:5140
CCTV-4-4K,http://www.rogerxlj.top:9998/rtp/233.18.204.204:5140
CCTV16-4K,http://www.rogerxlj.top:9998/rtp/233.18.204.114:5140
多彩文体4K,http://www.rogerxlj.top:9998/rtp/233.18.204.205:5140
深圳卫视4K,http://www.rogerxlj.top:9998/rtp/233.18.204.219:5140	
东方卫视4K,http://www.rogerxlj.top:9998/rtp/233.18.204.224:5140	
四川卫视4K,http://www.rogerxlj.top:9998/rtp/233.18.204.225:5140
江苏卫视4K,http://www.rogerxlj.top:9998/rtp/233.18.204.226:5140	
湖南卫视4K,http://www.rogerxlj.top:9998/rtp/233.18.204.227:5140	
山东卫视4K,http://www.rogerxlj.top:9998/rtp/233.18.204.228:5140	
浙江卫视4K,http://www.rogerxlj.top:9998/rtp/233.18.204.229:5140

欢笑剧场4K,http://www.rogerxlj.top:9998/rtp/233.18.204.115:5140
